Name,POR - Virtual Name,POR - Virtual Name - use this ONE,ID,Status,Environment,OS Version,Pool data available,Proc mode,RMC IP,RMC State,Default profile,Current profile,Migration disabled,Auto start,Suspend capable,Remote restart capable,Simplified remote restart capable,Remote restart status,Sync current profile,Managed System Name,Managed System Serial,LPAR CPU,LPAR MEM
bsfgpda2ba,bsfgpda2ba,bsfgpda2ba,33,Running,AIX,AIX 7.2,FALSE,POWER8,10.22.5.82,active,default_profile,default_profile,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,30
CTRLM_a5461c001,CTRLM_a5461c001,CTRLM_a5461c001,32,Running,AIX,AIX 7.2,FALSE,POWER8,10.71.74.94,active,default_profile,default_profile,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.2,6
INM90X1,INM90X1,INM90X1,30,Running,AIX,AIX 7.3,FALSE,POWER8,10.71.129.54,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,7
T02TP02PX,T02TP02PX,T02TP02PX,29,Running,AIX,AIX 7.1,FALSE,POWER8,10.71.129.96,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,10
T02RT12PX,T02RT12PX,T02RT12PX,28,Running,AIX,AIX 7.1,FALSE,POWER8,10.71.129.108,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,6
T02RT10PX,T02RT10PX,T02RT10PX,27,Running,AIX,AIX 7.1,FALSE,POWER8,10.71.129.106,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,6
DR_bbmsaspgwa4,DR_bbmsaspgwa4,DR_bbmsaspgwa4,120,Not Activated,AIX,AIX,FALSE,POWER8,inactive,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0,0
T01NM01PXPER2,T01NM01PXPER2,T01NM01PXPER2,25,Running,AIX,AIX 7.1,FALSE,POWER8,10.71.129.90,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,6
DR_bbmsaspgwa3,DR_bbmsaspgwa3,DR_bbmsaspgwa3,119,Not Activated,AIX,AIX,FALSE,POWER8,inactive,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0,0
T02RT08PX,T02RT08PX,T02RT08PX,24,Running,AIX,AIX 7.1,FALSE,POWER8,10.71.129.104,active,normal,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0.5,6
DR_bbmsaspgwa2,DR_bbmsaspgwa2,DR_bbmsaspgwa2,118,Not Activated,AIX,AIX,FALSE,POWER8,inactive,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0,0
DR_bbmsaspgwa1,DR_bbmsaspgwa1,DR_bbmsaspgwa1,117,Not Activated,AIX,AIX,FALSE,POWER8,inactive,normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,BOI-CAB-PRD-E870-2,108325D,0,0
